dataset,method,experiment_type,alpha,S1,S2,S3,S4,S5,S6,S7,S8,S9,avgS1_S9,T1,T2,T3,T4,T5,avgT1_T5,avgSandT
cit-HepPh,HYB-RN-FF(alpha=0.7),back_in_time,0.7,0.12457744954208523,0.2110359902870712,0.08330133928494055,0.001659182192629,0.17768811503752274,0.20113275151491092,0.17713211537477722,0.3583333333333333,0.24769289672736514,0.17583924147718172,0.2,0.2,0.2666666666666666,0.2,0.2666666666666666,0.22666666666666666,0.20125295407192417
cit-HepPh,HYB-RPN-RW(alpha=0.3),back_in_time,0.3,0.11981016008251798,0.1672288246266846,0.11569154811512997,0.00231079042506855,0.15407264386812436,0.16537066054287414,0.23468968388738048,0.47777777777777775,0.3656840926848019,0.2002929091122622,0.2,0.2666666666666666,0.2,0.2,0.2,0.21333333333333332,0.20681312122279777
cit-HepPh,HYB-RPN-RW(alpha=0.5),back_in_time,0.5,0.11852534154425952,0.1681180387281722,0.11240325361705647,0.001925809818757725,0.14924712968191228,0.1489964606490636,0.18768767222941832,0.4638888888888889,0.291418979925823,0.1824679527870391,0.2,0.2,0.2,0.2,0.2,0.2,0.19123397639351955
cit-HepPh,HYB-RPN-RW(alpha=0.7),back_in_time,0.7,0.11584255083211427,0.1746784175560166,0.09344050982697297,0.0025790224943475,0.1590804056176246,0.18314763832372188,0.17472378156375015,0.42222222222222217,0.31678113507915534,0.18249952039065842,0.2,0.2,0.2,0.2,0.2,0.2,0.19124976019532922
cit-HepPh,HYB-RPN-FF(alpha=0.3),back_in_time,0.3,0.12348335466653396,0.16824717723826768,0.051733665038409024,0.002367817244918625,0.16490857276040338,0.18076288448499542,0.17252695960042105,0.3722222222222222,0.3666010784158624,0.1780948590746704,0.2,0.2,0.2,0.2,0.2,0.2,0.18904742953733522
cit-HepPh,HYB-RPN-FF(alpha=0.5),back_in_time,0.5,0.12178732632077822,0.17157474499489686,0.09961654767642462,0.002372396585033275,0.16055794679936553,0.17868012530841476,0.17063169949338408,0.36944444444444435,0.34308625739148985,0.17975016544602573,0.2,0.2,0.2,0.2,0.2,0.2,0.18987508272301287
cit-HepPh,HYB-RPN-FF(alpha=0.7),back_in_time,0.7,0.12182110877809413,0.17655684526735685,0.0810171838311077,0.0018936435334101498,0.17647922103770797,0.14669420265332395,0.17708109106396291,0.3638888888888889,0.3274560628910285,0.17476536088276456,0.2,0.2,0.2,0.2,0.2,0.2,0.1873826804413823
cit-HepPh,HYB-RDN-RW(alpha=0.3),back_in_time,0.3,0.1486782791125156,0.18633893062268636,0.11202679891590736,0.004234343545245175,0.1889776504411717,0.14124504960460332,0.24110091528458955,0.5444444444444445,0.3584741977577075,0.213946734414319,0.2,0.3333333333333333,0.2,0.2,0.2,0.22666666666666666,0.22030670054049284
cit-HepPh,HYB-RDN-RW(alpha=0.5),back_in_time,0.5,0.13603893801802447,0.1778917151799179,0.12344867129668383,0.0033584010879850997,0.15635915401571948,0.13932156184583327,0.24804752224571303,0.4388888888888889,0.3023061120965456,0.1917401071861457,0.2,0.3333333333333333,0.2,0.2,0.2,0.22666666666666666,0.20920338692640617
cit-HepPh,HYB-RDN-RW(alpha=0.7),back_in_time,0.7,0.12751337025897305,0.1788860038387694,0.09162561446439585,0.003650723290867875,0.15883670528979452,0.1569886184774628,0.26503261917196447,0.3888888888888889,0.3100443643381175,0.18682965644658156,0.2,0.2,0.2,0.2,0.2,0.2,0.19341482822329079
