dataset,ratio,method,method_type,alpha,run,n_samples,in_degree,out_degree,wcc,scc,hop_plot,hop_plot_wcc,singular_vec,singular_val,clustering,AVG,experiment_type,S_AVG_ALL,T_AVG,COMBINED_AVG,Snapshot_1_in_degree,Snapshot_1_out_degree,Snapshot_1_wcc,Snapshot_1_scc,Snapshot_1_hop_plot,Snapshot_1_hop_plot_wcc,Snapshot_1_singular_vec,Snapshot_1_singular_val,Snapshot_1_clustering,Snapshot_1_AVG,Snapshot_2_in_degree,Snapshot_2_out_degree,Snapshot_2_wcc,Snapshot_2_scc,Snapshot_2_hop_plot,Snapshot_2_hop_plot_wcc,Snapshot_2_singular_vec,Snapshot_2_singular_val,Snapshot_2_clustering,Snapshot_2_AVG,Snapshot_3_in_degree,Snapshot_3_out_degree,Snapshot_3_wcc,Snapshot_3_scc,Snapshot_3_hop_plot,Snapshot_3_hop_plot_wcc,Snapshot_3_singular_vec,Snapshot_3_singular_val,Snapshot_3_clustering,Snapshot_3_AVG,Snapshot_4_in_degree,Snapshot_4_out_degree,Snapshot_4_wcc,Snapshot_4_scc,Snapshot_4_hop_plot,Snapshot_4_hop_plot_wcc,Snapshot_4_singular_vec,Snapshot_4_singular_val,Snapshot_4_clustering,Snapshot_4_AVG,T_T1_dpl,T_T2_diameter,T_T3_cc_size,T_T4_singular,T_T5_clustering,T_T_AVG
cit-HepTh,0.1,HYB-RPN-FF(α=0.5),hybrid,0.5,0.0,2777.0,0.023749615782365896,0.04934663138083553,0.8856244426714225,0.0010957273539408119,0.1392857142857143,0.15441176470588236,0.23767500478085324,0.94,0.3976503385105536,0.3143154710523965,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-FF(α=0.5),hybrid,0.5,1.0,2777.0,0.11351313751886516,0.14436309541986558,0.9260924948657291,0.002240529456452256,0.12698412698412698,0.11764705882352941,0.19621348700763247,0.98,0.4240081505453674,0.33678467562461867,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-FF(α=0.7),hybrid,0.7,0.0,2777.0,0.11908592600111656,0.19364914275090161,0.8853146853146853,0.0017991120032047059,0.16134453781512606,0.20261437908496732,0.2401187866583226,0.98,0.38278102664067576,0.35185639958544446,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RPN-FF(α=0.7),hybrid,0.7,1.0,2777.0,0.09100064977257954,0.14019817752716657,0.8689964389172833,0.002277847072821859,0.11428571428571428,0.11312217194570136,0.20683835685367458,0.96,0.3735402068735402,0.3189177292498313,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RDN-RW(α=0.3),hybrid,0.3,0.0,2777.0,0.0461642775716522,0.11725773085807734,0.9020979020979021,0.0013002470878114014,0.09523809523809523,0.1,0.24718995420797218,0.96,0.3562469135802469,0.31394390229352864,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RDN-RW(α=0.3),hybrid,0.3,1.0,2777.0,0.02730009616552831,0.09566775805487704,0.920717836380487,0.0009206754297551578,0.18823529411764706,0.1801470588235294,0.3031814750655858,0.96,0.3191358024691358,0.3328117773896162,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RDN-RW(α=0.5),hybrid,0.5,0.0,2777.0,0.04462400257918914,0.13125046130071083,0.907069493006993,0.0019436328247135481,0.13392857142857142,0.125,0.29040480817981507,0.96,0.2894848871860366,0.3204117618340033,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RDN-RW(α=0.5),hybrid,0.5,1.0,2777.0,0.022152717860224325,0.08671280909796242,0.9081013326296346,0.0037842133196188676,0.15396825396825398,0.16993464052287582,0.3160403446349772,0.92,0.36006683375104426,0.3267512384205102,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RDN-RW(α=0.7),hybrid,0.7,0.0,2777.0,0.09895814809204218,0.1948888205534285,0.8697193217741163,0.0011079216055026597,0.08571428571428572,0.09117647058823529,0.2855735647803641,0.96,0.26510141093474426,0.31691554933807997,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RDN-RW(α=0.7),hybrid,0.7,1.0,2777.0,0.11200421848938613,0.2073271835791537,0.918006993006993,0.0004618330156704875,0.11428571428571428,0.1092436974789916,0.2498637609535167,0.96,0.32552993244817147,0.33296925925084414,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
